team_name,team_abbr,role,player_name,sleeper_player_id,role_status,source_player_name,source_name,source_url,source_updated_at,researched_at,notes
Arizona Cardinals,ARI,WR1,Marvin Harrison,11628,projected,Marvin Harrison Jr.,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Arizona Cardinals,ARI,WR2,Michael Wilson,10232,projected,Michael Wilson,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Arizona Cardinals,ARI,RB1,Jeremiyah Love,13287,projected,Jeremiyah Love,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Arizona Cardinals,ARI,RB2,Tyler Allgeier,8132,projected,Tyler Allgeier,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Atlanta Falcons,ATL,WR1,Drake London,8112,projected,Drake London,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Atlanta Falcons,ATL,WR2,Zachariah Branch,13320,projected,Zachariah Branch,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Atlanta Falcons,ATL,RB1,Bijan Robinson,9509,projected,Bijan Robinson,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Atlanta Falcons,ATL,RB2,Brian Robinson,8154,projected,Brian Robinson,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Baltimore Ravens,BAL,WR1,Zay Flowers,9997,projected,Zay Flowers,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Baltimore Ravens,BAL,WR2,Rashod Bateman,7571,projected,Rashod Bateman,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Baltimore Ravens,BAL,RB1,Derrick Henry,3198,projected,Derrick Henry,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Baltimore Ravens,BAL,RB2,Justice Hill,5995,projected,Justice Hill,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Buffalo Bills,BUF,WR1,DJ Moore,4983,projected,D.J. Moore,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Buffalo Bills,BUF,WR2,Khalil Shakir,8134,projected,Khalil Shakir,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Buffalo Bills,BUF,RB1,James Cook,8138,projected,James Cook,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Buffalo Bills,BUF,RB2,Ray Davis,11575,projected,Ray Davis,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Carolina Panthers,CAR,WR1,Tetairoa McMillan,12526,projected,Tetairoa McMillan,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Carolina Panthers,CAR,WR2,Jalen Coker,11646,projected,Jalen Coker,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Carolina Panthers,CAR,RB1,Chuba Hubbard,7594,projected,Chuba Hubbard,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Carolina Panthers,CAR,RB2,Jonathon Brooks,11583,projected,Jonathon Brooks,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Chicago Bears,CHI,WR1,Luther Burden,12519,projected,Luther Burden,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Chicago Bears,CHI,WR2,Rome Odunze,11620,projected,Rome Odunze,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Chicago Bears,CHI,RB1,D'Andre Swift,6790,projected,D'Andre Swift,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Chicago Bears,CHI,RB2,Kyle Monangai,12534,projected,Kyle Monangai,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Cincinnati Bengals,CIN,WR1,Ja'Marr Chase,7564,projected,Ja'Marr Chase,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Cincinnati Bengals,CIN,WR2,Tee Higgins,6801,projected,Tee Higgins,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Cincinnati Bengals,CIN,RB1,Chase Brown,9224,projected,Chase Brown,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
Cincinnati Bengals,CIN,RB2,Samaje Perine,4147,projected,Samaje Perine,Draft Punk 2026 Fantasy Football Depth Charts,https://draftpunk.net/depth/,2026-08-19,2026-08-20,
